Brnd_Name,Gnrc_Name,Mftr_Name,Tot_Spndng_2017,Tot_Dsg_Unts_2017,Tot_Clms_2017,Tot_Benes_2017,Avg_Spnd_Per_Dsg_Unt_Wghtd_2017,Avg_Spnd_Per_Clm_2017,Avg_Spnd_Per_Bene_2017,Outlier_Flag_2017,Tot_Spndng_2018,Tot_Dsg_Unts_2018,Tot_Clms_2018,Tot_Benes_2018,Avg_Spnd_Per_Dsg_Unt_Wghtd_2018,Avg_Spnd_Per_Clm_2018,Avg_Spnd_Per_Bene_2018,Outlier_Flag_2018,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Tot_Benes_2019,Avg_Spnd_Per_Dsg_Unt_Wghtd_2019,Avg_Spnd_Per_Clm_2019,Avg_Spnd_Per_Bene_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,Avg_Spnd_Per_Clm_2020,Avg_Spnd_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spnd_Per_Dsg_Unt_Wghtd_2021,Avg_Spnd_Per_Clm_2021,Avg_Spnd_Per_Bene_2021,Outlier_Flag_2021,Chg_Avg_Spnd_Per_Dsg_Unt_20_21,CAGR_Avg_Spnd_Per_Dsg_Unt_17_21
Abacavir,Abacavir Sulfate,Rising Pharm,,,,,,,,,88001.92,175280.0,263.0,62.0,0.5020648106,334.60806084,1419.3858065,0.0,142257.84,312210.0,433.0,77.0,0.4556479293,328.54004619,1847.5044156,0.0,134219.38,284470.0,452.0,64.0,0.4718226175,296.94553097,2097.1778125,0.0,123118.64,262650.0,437,65.0,0.4687555302,281.73601831,1894.1329231,0,-0.006500509,-0.022622792
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,"Cipla USA, Inc.",3951652.78,260722.0,8646.0,2417.0,15.156575893,457.0498242,1634.9411585,1.0,6073233.32,552209.0,17484.0,3232.0,10.998070151,347.35948982,1879.0944678,1.0,5147233.64,502897.0,14962.0,2625.0,10.235164736,344.02042775,1960.8509105,0.0,2201494.1,203610.0,5979.0,1511.0,10.812308335,368.20439873,1456.9782263,1.0,3574313.32,451517.0,12337,2013.0,7.9162319913,289.72305423,1775.6151615,1,-0.267849959,-0.149881722
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,Lupin Pharmaceu,6153237.12,392074.0,12957.0,3147.0,15.694070813,474.89674462,1955.2707722,0.0,4837959.11,434734.0,14396.0,2559.0,11.128550125,336.0627334,1890.5662798,1.0,3869971.45,333466.0,10504.0,1850.0,11.605295442,368.42835586,2091.8764595,0.0,4155363.86,369520.0,10831.0,1929.0,11.245301635,383.65468193,2154.1544116,1.0,2333229.56,255790.0,7346,1216.0,9.1216605809,317.61905255,1918.7743092,1,-0.188846962,-0.126858612
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,Aurobindo Pharm,4995527.15,308673.0,9732.0,2275.0,16.183881162,513.30940711,2195.8361099,0.0,5046603.12,442317.0,13695.0,2311.0,11.409471307,368.49968018,2183.7313371,1.0,4039930.74,324606.0,9348.0,1597.0,12.445644073,432.17059692,2529.6998998,0.0,2816938.69,248430.0,6793.0,1383.0,11.33896345,414.68256882,2036.8320246,0.0,3129997.02,367529.0,8662,1603.0,8.5163266572,361.34807435,1952.5870368,1,-0.248932524,-0.148288703
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,Teva USA,18687459.89,768949.0,23899.0,5455.0,24.302599899,781.93480438,3425.7488341,0.0,2307982.32,240575.0,7153.0,1851.0,9.5936083134,322.65934853,1246.8840194,1.0,2021738.55,172505.0,5314.0,1391.0,11.719883771,380.45512796,1453.4425234,0.0,3430289.77,369365.0,9589.0,2328.0,9.2869919186,357.73175201,1473.4921692,1.0,364179.69,45971.0,1083,502.0,7.9219440517,336.26933518,725.4575498,1,-0.146984931,-0.244395112
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,Burel Pharmaceu,,,,,,,,,,,,,,,,,3423734.03,287300.0,7849.0,1608.0,11.916930143,436.2000293,2129.1878296,0.0,2091576.23,174960.0,4163.0,1353.0,11.954596651,502.42042517,1545.8804361,0.0,256577.42,29266.0,823,380.0,8.7670819381,311.75871203,675.20373684,0,-0.26663507,-0.142280397
Abacavir-Lamivudine-Zidovudine,Abacavir/Lamivudine/Zidovudine,Lupin Pharmaceu,10158493.71,468341.0,7451.0,971.0,21.690378827,1363.3731996,10461.888476,0.0,6955321.12,330735.0,5298.0,710.0,21.029891363,1312.8201435,9796.2269296,0.0,4849598.99,225020.0,3648.0,493.0,21.551857568,1329.385688,9836.914787,0.0,2085404.63,96333.0,1585.0,290.0,21.647873833,1315.7127003,7191.0504483,0.0,146795.2,7002.0,118,32.0,20.964752928,1244.0271186,4587.35,0,-0.031556028,-0.00847047
Abelcet,Amphotericin B Lipid Complex,Leadiant Biosci,675695.03,68490.0,420.0,137.0,9.8656012557,1608.7976905,4932.0805109,0.0,766166.41,101857.38,620.0,205.0,7.5219528521,1235.7522742,3737.397122,0.0,618247.3,120570.0,777.0,226.0,5.1277042382,795.68507079,2735.6075221,0.0,637913.66,124320.0,826.0,238.0,5.1312231338,772.29256659,2680.3094958,0.0,504545.33,97200.0,697,199.0,5.1907955761,723.88139168,2535.4036683,0,0.0116097938,-0.148317758
Abilify,Aripiprazole,Otsuka America,37757403.48,1158482.5,32241.0,6955.0,32.723650038,1171.0990193,5428.8143034,0.0,31071646.36,950552.33,25660.0,4690.0,32.843309582,1210.8981434,6625.0845117,0.0,26854630.75,808281.5,20939.0,3670.0,33.402208187,1282.517348,7317.338079,0.0,24481910.61,716447.5,17689.0,2532.0,34.436527492,1384.0189163,9669.0010308,0.0,20484851.18,633899.0,15261,2174.0,32.656164441,1342.3007129,9422.6546366,0,-0.051699843,-0.000515971
Abilify Maintena,Aripiprazole,Otsuka America,261850803.04,138042.611,137385.0,19543.0,1896.9635692,1905.9635553,13398.700457,0.0,345893454.06,165452.467,164759.0,22935.0,2090.8041256,2099.3903463,15081.467367,0.0,422038582.34,189937.35,189140.0,25421.0,2222.0696373,2231.3555162,16601.966183,0.0,460313112.01,204264.771,203218.0,25646.0,2253.5948883,2265.1197827,17948.729315,0.0,499429110.88,210840.18,208784,26393.0,2368.5084279,2392.0851736,18922.786757,0,0.0509912142,0.0570705803
Abilify Mycite,Aripiprazole,Otsuka America,,,,,,,,,,,,,,,,,40552.86,720.0,24.0,,56.323416667,1689.7025,,1.0,92372.21,1620.0,47.0,15.0,56.908812057,1965.3661702,6158.1473333,1.0,56308.8,990.0,31,,56.778172043,1816.4129032,,1,-0.002295603,0.004028885
Abiraterone Acetate,Abiraterone Acetate,Bluepoint/Oncop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8944728.38,326848.0,2779,839.0,27.366630299,3218.685995,10661.178045,0,,
Abiraterone Acetate,Abiraterone Acetate,Mylan,,,,,,,,,4650291.61,80017.0,653.0,599.0,58.116295412,7121.4266616,7763.4250584,0.0,89624661.26,1938999.0,16412.0,4018.0,46.222128665,5460.9225725,22305.789263,0.0,46509342.26,1227017.0,10676.0,2876.0,38.1716888,4356.4389528,16171.537643,0.0,105057491.89,1174828.0,15673,4349.0,103.38309006,6703.0875959,24156.700825,0,1.7083708716,0.2116686241
Abiraterone Acetate,Abiraterone Acetate,Novadoz Pharmac,,,,,,,,,,,,,,,,,20635781.2,564258.0,4957.0,2138.0,36.571535007,4162.957676,9651.9088868,0.0,182376285.57,6169405.0,54225.0,12624.0,29.561405933,3363.3247685,14446.790682,0.0,233618611.16,9414775.0,84087,15670.0,24.81404082,2778.2964211,14908.65419,0,-0.160593347,-0.176284664
Abiraterone Acetate,Abiraterone Acetate,Northstar Rx Ll,,,,,,,,,,,,,,,,,,,,,,,,,445297.27,17602.0,149.0,149.0,25.298106465,2988.5722819,2988.5722819,0.0,33110769.99,1386645.0,12105,2589.0,23.878332226,2735.2969839,12789.018922,0,-0.056121759,-0.056121759
Abiraterone Acetate,Abiraterone Acetate,Dr.Reddy'S Lab,,,,,,,,,,,,,,,,,,,,,,,,,626395.12,20008.0,159.0,104.0,31.307233107,3939.5919497,6023.03,0.0,1840647.11,59117.0,545,239.0,31.135665037,3377.3341468,7701.4523431,0,-0.005480142,-0.005480142
Abiraterone Acetate,Abiraterone Acetate,Wockhardt USA L,,,,,,,,,,,,,,,,,8538883.37,196154.0,1712.0,819.0,43.531528136,4987.6655199,10425.987021,0.0,15147557.6,500973.0,4492.0,1573.0,30.236275408,3372.118789,9629.7251113,0.0,9167613.92,373812.0,3463,1352.0,24.524664591,2647.3040485,6780.7795266,0,-0.188899285,-0.249415517
Abiraterone Acetate,Abiraterone Acetate,"Celltrion USA,",,,,,,,,,,,,,,,,,,,,,,,,,945649.24,293706.0,2534.0,1003.0,3.2197137273,373.18438832,942.82077767,0.0,4898138.39,1457548.0,12936,2784.0,3.3605331625,378.64396954,1759.3887895,0,0.0437366322,0.0437366322
Abiraterone Acetate,Abiraterone Acetate,Major Pharmaceu,,,,,,,,,,,,,,,,,,,,,,,,,4632.8,556.0,11.0,,8.3323741007,421.16363636,,1.0,19197.61,4259.0,67,38.0,4.5075393285,286.53149254,505.20026316,0,-0.459033011,-0.459033011
Abiraterone Acetate,Abiraterone Acetate,Rising Pharm,,,,,,,,,,,,,,,,,,,,,,,,,52080902.12,1508851.0,13222.0,3140.0,34.516928524,3938.9579579,16586.274561,0.0,54513705.91,1624314.0,14601,3533.0,33.561063877,3733.55975,15429.86298,0,-0.027692633,-0.027692633
Abiraterone Acetate,Abiraterone Acetate,Avkare,,,,,,,,,,,,,,,,,395384.44,7130.0,60.0,43.0,55.453638149,6589.7406667,9194.9869767,0.0,1273345.73,34246.0,292.0,101.0,37.182319979,4360.7730479,12607.383465,0.0,68278.32,3360.0,28,11.0,20.320928571,2438.5114286,6207.12,1,-0.453478734,-0.394649713
Abiraterone Acetate,Abiraterone Acetate,Glenmark Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582002.55,26368.0,236,185.0,22.072305446,2466.1125,3145.9597297,0,,
Abiraterone Acetate,Abiraterone Acetate,West-Ward/Hikma,,,,,,,,,1127427.3,29604.0,255.0,249.0,38.083613701,4421.2835294,4527.8204819,1.0,15366088.51,871312.0,7643.0,1731.0,17.635575443,2010.4786746,8877.0008723,0.0,3903999.61,1489945.0,13174.0,2053.0,2.6202306864,296.34124867,1901.6072138,0.0,3089709.84,1951977.0,17105,2635.0,1.5828618063,180.6319696,1172.5654042,0,-0.395907462,-0.653607657
Abiraterone Acetate,Abiraterone Acetate,Teva USA,,,,,,,,,1843951.75,27914.0,242.0,214.0,66.058313033,7619.6353306,8616.5969626,0.0,11777466.4,236279.0,2016.0,679.0,49.845591017,5841.9972222,17345.31134,0.0,3613882.86,96508.0,862.0,325.0,37.446458946,4192.4395128,11119.639569,0.0,396597.29,11915.0,103,25.0,33.28554679,3850.4591262,15863.8916,0,-0.111116305,-0.204251054
Abiraterone Acetate,Abiraterone Acetate,Patriot Pharmac,,,,,,,,,8067619.77,125781.0,1054.0,974.0,64.140210127,7654.2882068,8282.9771766,0.0,231496652.37,5053365.999,43147.0,10563.0,45.81038706,5365.3012346,21915.805393,0.0,98574761.07,2983608.997,26288.0,6842.0,33.03876653,3749.8007102,14407.302115,0.0,3649785.15,124313.0,1094,348.0,29.359641791,3336.1838665,10487.888362,0,-0.111357812,-0.229321119
Abiraterone Acetate,Abiraterone Acetate,Amneal Pharmace,,,,,,,,,,,,,,,,,20386448.34,439622.0,3774.0,1234.0,46.37267548,5401.8146105,16520.622642,0.0,24080851.95,967757.0,8438.0,2263.0,24.883159667,2853.8577803,10641.118847,0.0,98437342.1,1807128.0,20654,4355.0,72.583651807,4766.0183064,22603.293249,0,1.9169789037,0.2510893599
Abiraterone Acetate,Abiraterone Acetate,Mylan Instituti,,,,,,,,,,,,,,,,,,,,,,,,,10415.95,1236.0,17.0,13.0,8.4271440129,612.70294118,801.22692308,1.0,7899.3,645.0,19,,12.246976744,415.75263158,,1,0.453277258,0.453277258
Abiraterone Acetate,Abiraterone Acetate,Apotex Corp,,,,,,,,,10934145.94,171807.0,1420.0,1334.0,63.642028206,7700.1027746,8196.5111994,0.0,114778256.63,2218449.0,19000.0,6121.0,51.738064129,6040.9608753,18751.553117,0.0,71640280.53,1992035.0,17507.0,4741.0,35.963364364,4092.0934786,15110.795303,0.0,43828187.66,1497395.0,13837,3612.0,31.632935659,3167.4631539,12134.04974,0,-0.120412225,-0.20786629
Abraxane,Paclitaxel Protein-Bound,Celgene/BMS,4693801.6,3783.0,710.0,197.0,1240.7617235,6610.988169,23826.404061,0.0,5675297.99,4441.0,828.0,236.0,1277.9324454,6854.2246256,24047.872839,0.0,8803136.55,6318.0,1190.0,333.0,1393.342284,7397.5937395,26435.845495,0.0,9792937.31,6620.0,1286.0,319.0,1479.2956662,7615.0367885,30698.863041,0.0,9534884.71,6081.0,1200,307.0,1567.9797254,7945.7372583,31058.256384,0,0.059950192,0.0602615541
Absorica,Isotretinoin,Sun Pharmaceuti,379410.66,11460.0,246.0,108.0,33.10201751,1542.3197561,3513.0616667,0.0,317230.79,8970.0,180.0,78.0,35.323289214,1762.3932778,4067.0614103,0.0,256597.51,6840.0,150.0,47.0,37.435019327,1710.6500667,5459.5214894,0.0,235353.71,6180.0,126.0,52.0,37.944869135,1867.8865873,4526.0328846,0.0,163699.34,4090.0,88,35.0,39.690154659,1860.2197727,4677.124,0,0.045995297,0.0464225303
Absorica Ld,Isotretinoin,Sun Pharmaceuti,,,,,,,,,,,,,,,,,,,,,,,,,25585.7,690.0,15.0,,37.42603165,1705.7133333,,1.0,81264.22,2130.0,31,11.0,38.278067742,2621.4264516,7387.6563636,1,0.0227658679,0.0227658679
Absorica Ld,Micronized,Sun Pharmaceuti,,,,,,,,,,,,,,,,,,,,,,,,,25585.7,690.0,15.0,,37.42603165,1705.7133333,,1.0,81264.22,2130.0,31,11.0,38.278067742,2621.4264516,7387.6563636,1,0.0227658679,0.0227658679
Acamprosate Calcium,Acamprosate Calcium,Teva USA,573793.92,581780.0,3523.0,1707.0,0.9862730242,162.870826,336.14172232,0.0,105642.26,111579.0,757.0,410.0,0.946793393,139.55384412,257.66404878,0.0,71329.76,74028.0,481.0,246.0,0.9635510888,148.29471933,289.95837398,0.0,32870.94,32444.0,204.0,96.0,1.0131592899,161.13205882,342.405625,0.0,29702.64,31722.0,196,72.0,0.9363419709,151.54408163,412.53666667,0,-0.075819587,-0.012904132
Acamprosate Calcium,Acamprosate Calcium,Mylan,1019547.92,1071936.0,6914.0,2581.0,0.9511276046,147.46137113,395.02050368,0.0,523392.12,573142.0,3774.0,1612.0,0.9131979858,138.6836566,324.68493797,0.0,150985.65,169386.0,1106.0,582.0,0.8913703022,136.51505425,259.42551546,0.0,787116.88,906051.0,5686.0,2022.0,0.868733526,138.4306859,389.2763996,0.0,812965.38,935701.0,5812,2239.0,0.8688302994,139.87704405,363.09306833,0,0.0001113959,-0.022371074
Acamprosate Calcium,Acamprosate Calcium,Zydus Pharmaceu,437304.38,437387.0,2630.0,1368.0,0.9998111055,166.27542966,319.66694444,0.0,1592019.25,1673011.0,10463.0,4051.0,0.9515892304,152.15705343,392.99413725,0.0,2161886.42,2064910.0,12820.0,4598.0,1.0469639936,168.63388612,470.17973467,0.0,1727652.52,1638918.0,10153.0,3824.0,1.0541421352,170.16177681,451.79197699,0.0,1924716.56,1918245.0,11538,4330.0,1.0033736879,166.81544115,444.50728868,0,-0.048160913,0.000889626
Acamprosate Calcium,Acamprosate Calcium,Glenmark Pharma,3124511.22,3091660.01,19236.0,6275.0,1.0106257512,162.43040237,497.9300749,0.0,3043129.45,3171030.0,19572.0,6477.0,0.9596659287,155.48382638,469.83625907,0.0,3741077.17,3796463.0,22641.0,7645.0,0.9854112025,165.23462612,489.34953172,0.0,3920114.18,4086170.0,23940.0,7724.0,0.9593614999,163.74745948,507.52384516,0.0,4262923.33,4353044.0,25692,8566.0,0.9792970919,165.92415265,497.65623745,0,0.0207800626,-0.007841571
Acamprosate Calcium,Acamprosate Calcium,AHP,4933.66,4507.0,41.0,32.0,1.094666075,120.33317073,154.176875,0.0,3358.03,2860.0,27.0,17.0,1.1741363636,124.37148148,197.53117647,1.0,2461.5,2537.0,28.0,14.0,0.9702404415,87.910714286,175.82142857,1.0,3366.34,3121.0,30.0,22.0,1.0786094201,112.21133333,153.01545455,0.0,6457.22,6032.0,53,33.0,1.0704940318,121.83433962,195.67333333,0,-0.007523936,-0.005566725
Acamprosate Calcium,Acamprosate Calcium,Marlex Pharm.,,,,,,,,,5338.07,4643.0,35.0,24.0,1.1497027784,152.51628571,222.41958333,0.0,6121.51,6614.0,48.0,27.0,0.9255382522,127.53145833,226.72259259,0.0,4808.02,4686.0,28.0,23.0,1.0260392659,171.715,209.04434783,1.0,9231.61,8475.0,58,44.0,1.0892755162,159.16568966,209.80931818,0,0.0616314136,-0.017835905
Acanya,Clindamycin Phos/Benzoyl Perox,Bausch Health U,255946.1,26640.0,497.0,274.0,9.6075863363,514.98209256,934.10985401,0.0,146741.77,13850.0,254.0,143.0,10.595073646,577.72350394,1026.1662238,0.0,60935.72,5750.0,107.0,56.0,10.597516522,569.49271028,1088.1378571,0.0,33711.89,3150.0,60.0,15.0,10.702187302,561.86483333,2247.4593333,0.0,15964.61,1450.0,29,,11.010075862,550.5037931,,1,0.0287687509,0.0346512908
Acarbose,Acarbose,Roxane/West-War,555464.85,1418565.5,13731.0,3825.0,0.3905815869,40.453342801,145.21956863,0.0,307877.52,897667.0,8449.0,2191.0,0.3418503757,36.439521837,140.51917846,0.0,2166182.96,6379462.0,41178.0,13130.0,0.3394588442,52.605346544,164.97966184,0.0,4384018.53,11404856.491,72172.0,21039.0,0.3849154814,60.744035499,208.37580351,0.0,4669434.02,12129566.5,75533,20671.0,0.3850593207,61.819787642,225.89299115,0,0.0003736906,-0.00355354
Acarbose,Acarbose,Virtus Pharmace,5127858.23,14288065.5,98977.0,26282.0,0.3580365477,51.808584116,195.10913287,0.0,5005722.25,14225421.5,94608.0,27176.0,0.3507641664,52.910137092,184.19643251,0.0,2387051.97,6757172.5,42018.0,15316.0,0.352588006,56.810223476,155.85348459,0.0,2526822.01,6822731.0,39224.0,14146.0,0.36942969,64.420304151,178.62448819,0.0,2185093.64,6226653.5,34473,11298.0,0.3503377406,63.3856537,193.40534962,0,-0.051679521,-0.005419612
Acarbose,Acarbose,Strides Pharma,2018832.65,5597846.48,44171.0,11778.0,0.362338329,45.704934233,171.40708524,0.0,2436933.51,6912154.5,53553.0,16385.0,0.353783933,45.505079267,148.72953982,0.0,4201059.18,12321669.5,90053.0,23637.0,0.3416168367,46.6509631,177.73233405,0.0,3798277.52,10349363.5,73353.0,22003.0,0.3680367125,51.780806784,172.62543835,0.0,3835408.06,10505598.5,69403,19761.0,0.3655415675,55.262856937,194.08977582,0,-0.006779609,0.0022028263
Acarbose,Acarbose,Alvogen Inc,1785152.5,4273510.94,35174.0,8924.0,0.4182471085,50.752046967,200.03950022,0.0,1790391.82,4538894.5,35688.0,9984.0,0.3952947543,50.16789453,179.32610377,0.0,970158.14,2334412.5,18355.0,7021.0,0.4154568087,52.85525143,138.17948156,0.0,134447.03,362952.0,3029.0,962.0,0.3683630421,44.386606141,139.75782744,0.0,21738.24,64777.0,519,249.0,0.330437015,41.884855491,87.302168675,0,-0.102958285,-0.057212239
Acarbose,Acarbose,Avet Pharmaceut,51904.91,130388.0,1257.0,385.0,0.397385722,41.292688942,134.81794805,0.0,31585.49,86983.0,789.0,208.0,0.3672553245,40.032306717,151.85331731,0.0,27769.95,75627.0,728.0,182.0,0.3678883019,38.145535714,152.58214286,0.0,13748.64,34289.0,336.0,105.0,0.4028878716,40.918571429,130.93942857,0.0,38703.5,105933.0,829,571.0,0.36520499,46.686972256,67.781961471,0,-0.093531933,-0.020890846
Accolate,Zafirlukast,Par Pharmaceuti,374889.01,100896.0,1082.0,190.0,3.7152956571,346.4778281,1973.1000526,0.0,335122.21,89645.0,951.0,166.0,3.738054399,352.38928496,2018.808494,0.0,267173.42,70926.0,731.0,141.0,3.7665431835,365.49031464,1894.8469504,0.0,241732.21,64927.0,635.0,121.0,3.7231384478,380.68064567,1997.7868595,0.0,217404.57,57295.0,521,103.0,3.7946403214,417.28324376,2110.7239806,0,0.0192047313,0.0052968212
Accupril,Quinapril HCl,Pfizer US Pharm,2577686.04,633391.0,8084.0,1728.0,4.06853494,318.86269668,1491.7164583,0.0,2823256.85,609380.0,7383.0,1640.0,4.6332509241,382.3996817,1721.4980793,0.0,2657878.87,575596.0,6757.0,1518.0,4.617106115,393.35191209,1750.9083465,0.0,2298518.54,500787.0,5639.0,1311.0,4.5900908149,407.61101968,1753.255942,0.0,1802400.49,386511.0,4302,1045.0,4.6659065874,418.9680358,1724.7851579,0,0.0165172707,0.0348430742
