45,Acamprosate Calcium,Acamprosate Calcium,Zydus Pharmaceu
46,Acamprosate Calcium,Acamprosate Calcium,Glenmark Pharma
47,Acamprosate Calcium,Acamprosate Calcium,AHP
48,Acamprosate Calcium,Acamprosate Calcium,Marlex Pharm.
49,Acanya,Clindamycin Phos/Benzoyl Perox,Bausch Health U
50,Acarbose,Acarbose,Roxane/West-War
51,Acarbose,Acarbose,Virtus Pharmace
52,Acarbose,Acarbose,Strides Pharma
53,Acarbose,Acarbose,Alvogen Inc
54,Acarbose,Acarbose,Avet Pharmaceut
55,Accolate,Zafirlukast,Par Pharmaceuti
56,Accupril,Quinapril HCl,Pfizer US Pharm
57,Accuretic,Quinapril/Hydrochlorothiazide,Pfizer US Pharm
58,Accutane,Isotretinoin,"Jg Pharma, Inc."
59,Acebutolol HCl,Acebutolol HCl,Marlex Pharm.
60,Acebutolol HCl,Acebutolol HCl,Mylan
61,Acebutolol HCl,Acebutolol HCl,Amneal Pharmace
62,Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,Xspire Pharma
63,Acetaminophen,Acetaminophen,Leucadia Pharma
64,Acetaminophen,Acetaminophen,Sandoz
65,Acetaminophen,Acetaminophen,B.Braun
66,Acetaminophen-Codeine,Acetaminophen With Codeine,Eywa Pharma Inc
67,Acetaminophen-Codeine,Acetaminophen With Codeine,Ranbaxy Pharmac
68,Acetaminophen-Codeine,Acetaminophen With Codeine,Pharm Assoc Inc
69,Acetaminophen-Codeine,Acetaminophen With Codeine,Teva USA
70,Acetaminophen-Codeine,Acetaminophen With Codeine,Aurobindo Pharm
71,Acetaminophen-Codeine,Acetaminophen With Codeine,AHP
72,Acetaminophen-Codeine,Acetaminophen With Codeine,Mallinckrodt Ph
73,Acetaminophen-Codeine,Acetaminophen With Codeine,Amneal Pharmace
74,Acetaminophen-Codeine,Acetaminophen With Codeine,Qualitest/Par P
75,Acetaminophen-Codeine,Acetaminophen With Codeine,Hi-Tech/Akorn C
76,Acetazolamide,Acetazolamide,AHP
77,Acetazolamide,Acetazolamide,Marlex Pharm.
78,Acetazolamide,Acetazolamide,Novitium Pharma
79,Acetazolamide,Acetazolamide,Eywa Pharma Inc
80,Acetazolamide,Acetazolamide,Breckenridge
81,Acetazolamide,Acetazolamide,Avet Pharmaceut
82,Acetazolamide,Acetazolamide,Strides Pharma
83,Acetazolamide,Acetazolamide,Lannett Co. Inc
84,Acetazolamide,Acetazolamide,Lifestar Pharma
85,Acetazolamide,Acetazolamide,Taro Pharm USA
86,Acetazolamide,Acetazolamide,"Trupharma, LLC."
87,Acetazolamide,Acetazolamide,Major Pharmaceu
88,Acetazolamide ER,Acetazolamide,Avet Pharmaceut
89,Acetazolamide ER,Acetazolamide,"Micro Labs USA,"
90,Acetazolamide ER,Acetazolamide,Ingenus Pharmac
91,Acetazolamide ER,Acetazolamide,Zydus Pharmaceu
92,Acetazolamide ER,Acetazolamide,Nostrum Laborat
93,Acetazolamide ER,Acetazolamide,Alembic Pharmac
94,Acetic Acid*,Acetic Acid,"Trupharma, LLC."
95,Acetic Acid*,Acetic Acid,Hospira/Icu Med
96,Acetic Acid*,Acetic Acid,Baxter Healthca
97,Acetic Acid*,Acetic Acid,Rising Pharm
98,Acetic Acid*,Acetic Acid,Morton Grove Ph
99,Acetic Acid*,Acetic Acid,B.Braun
100,Acetic Acid*,Acetic Acid,Hi-Tech/Akorn C
101,Acetylcysteine*,Acetylcysteine,App/Fresenius K
102,Acetylcysteine*,Acetylcysteine,Hospira/Pfizer
103,Acetylcysteine*,Acetylcysteine,Sagent Pharmace
104,Acetylcysteine*,Acetylcysteine,Perrigo/Padagis
105,Acetylcysteine*,Acetylcysteine,Auromedics Phar
106,Acetylcysteine*,Acetylcysteine,Fresenius Kabi*
107,Acetylcysteine*,Acetylcysteine,Amer. Regent
108,Aciphex,Rabeprazole Sodium,Eisai/ Woodward
109,Acitretin,Acitretin,Avkare
110,Acitretin,Acitretin,Mylan
111,Acitretin,Acitretin,Amneal Pharmace
112,Acitretin,Acitretin,Prasco Labs
113,Acitretin,Acitretin,Teva USA
114,Acitretin,Acitretin,Sigmapharm Labo
115,Actemra Actpen,Tocilizumab,"Genentech, Inc."
116,Actemra*,Tocilizumab,"Genentech, Inc.*"
117,Acthar,Corticotropin,Mallinckrodt Ph
118,Acthib,Haemoph B Poly Conj-Tet Tox/PF,Sanofi-Pasteur
119,Actigall,Ursodiol,Allergan Inc.
120,Actimmune,Interferon Gamma-1b,Horizon Therape
121,Actimmune,Recomb.,Horizon Therape
122,Activella,Estradiol/Norethindrone Acet,Amneal Pharmace
123,Actonel,Risedronate Sodium,Actavis/Allerga
124,Actoplus Met,Pioglitazone HCl/Metformin HCl,Takeda Pharmace
125,Actos,Pioglitazone HCl,Takeda Pharmace
126,Acular,Ketorolac Tromethamine,Allergan Inc.
127,Acular Ls,Ketorolac Tromethamine,Allergan Inc.
128,Acuvail,Ketorolac Tromethamine/PF,Allergan Inc.
129,Acyclovir Sodium,Acyclovir Sodium,Fresenius Kabi
130,Acyclovir Sodium,Acyclovir Sodium,Auromedics Phar
131,Acyclovir*,Acyclovir,Tolmar Inc.
132,Acyclovir*,Acyclovir,"Gsms, Inc."
133,Acyclovir*,Acyclovir,"Xiromed, LLC"
134,Acyclovir*,Acyclovir,Perrigo/Padagis
135,Acyclovir*,Acyclovir,Hi-Tech/Akorn C
136,Acyclovir*,Acyclovir,Zydus Pharmaceu*
137,Acyclovir*,Acyclovir,Ranbaxy Pharmac
138,Acyclovir*,Acyclovir,Northstar Rx Ll
139,Acyclovir*,Acyclovir,Teva USA*
140,Acyclovir*,Acyclovir,Viona Pharmaceu*
141,Acyclovir*,Acyclovir,Taro Pharm USA
142,Acyclovir*,Acyclovir,Yiling Pharmace
143,Acyclovir*,Acyclovir,Mylan*
144,Acyclovir*,Acyclovir,Torrent Pharmac
145,Acyclovir*,Acyclovir,Ranbaxy/Sun Pha
146,Acyclovir*,Acyclovir,Nivagen Pharmac
147,Acyclovir*,Acyclovir,Novitium Pharma
148,Acyclovir*,Acyclovir,Alembic Pharmac
149,Acyclovir*,Acyclovir,Cosette Pharmac
150,Acyclovir*,Acyclovir,Glenmark Pharma
151,Acyclovir*,Acyclovir,Avet Pharmaceut
152,Acyclovir*,Acyclovir,Camber Pharmace
153,Acyclovir*,Acyclovir,Actavis/Teva*
154,Acyclovir*,Acyclovir,Carlsbad Tech
155,Acyclovir*,Acyclovir,Fougera/Sandoz
156,Acyclovir*,Acyclovir,Apotex Corp
157,Acyclovir*,Acyclovir,AHP
158,Acyclovir*,Acyclovir,Bionpharma Inc.
159,Acyclovir*,Acyclovir,Major Pharmaceu
160,Acyclovir*,Acyclovir,Amneal Pharmace
161,Acyclovir*,Acyclovir,Quinn Pharmaceu
162,Acyclovir*,Acyclovir,Mylan Instituti
163,Aczone,Dapsone,"Almirall, LLC"
164,Aczone,Dapsone,Allerg/Almirall
165,Adacel Tdap,Diph,Sanofi-Pasteur
166,Adacel Tdap,Pertuss(Acell),Sanofi-Pasteur
167,Adacel Tdap,Tet Vac/PF,Sanofi-Pasteur
168,Adakveo,Crizanlizumab-Tmca,Novartis
169,Adapalene,Adapalene,Taro Pharm USA
170,Adapalene,Adapalene,Prasco Labs
171,Adapalene,Adapalene,Teva USA
172,Adapalene,Adapalene,Perrigo/Padagis
173,Adapalene,Adapalene,Rochester Pharm
174,Adapalene,Adapalene,Actavis/Teva
175,Adapalene,Adapalene,Fougera/Sandoz
176,Adapalene,Adapalene,Sandoz
177,Adapalene,Adapalene,Glenmark Pharma
178,Adapalene,Adapalene,Alembic Pharmac
179,Adapalene-Benzoyl Peroxide,Adapalene/Benzoyl Peroxide,Teva USA
180,Adapalene-Benzoyl Peroxide,Adapalene/Benzoyl Peroxide,Perrigo/Padagis
181,Adapalene-Benzoyl Peroxide,Adapalene/Benzoyl Peroxide,Prasco Labs
182,Adapalene-Benzoyl Peroxide,Adapalene/Benzoyl Peroxide,Glenmark Pharma
183,Adapalene-Benzoyl Peroxide,Adapalene/Benzoyl Peroxide,Taro Pharm USA
184,Adcetris,Brentuximab Vedotin,Seagen Inc.
185,Adcirca,Tadalafil,Eli Lilly & Co.
186,Adderall,Dextroamphetamine/Amphetamine,Teva USA
187,Adderall XR,Dextroamphetamine/Amphetamine,Shire US Inc.
188,Adefovir Dipivoxil,Adefovir Dipivoxil,Sigmapharm Labo
189,Adefovir Dipivoxil,Adefovir Dipivoxil,Apotex Corp
190,Adempas,Riociguat,"Bayer,Pharm Div"
191,Adlyxin,Lixisenatide,Sanofi-Aventis
192,Admelog,Insulin Lispro,Sanofi-Aventis
193,Admelog Solostar,Insulin Lispro,Sanofi-Aventis
194,Adrenalin,Epinephrine,Par Pharmaceuti
195,Adriamycin,Doxorubicin HCl,West-Ward/Hikma
196,Advair Diskus,Fluticasone Propion/Salmeterol,Glaxosmithkline
197,Advair HFA,Fluticasone Propion/Salmeterol,Glaxosmithkline
198,Advocate Pen Needle,Pen Needle,Diabetic Supply
199,Advocate Pen Needle,Diabetic,Diabetic Supply
200,Advocate Pen Needles,Pen Needle,Diabetic Supply
201,Advocate Pen Needles,Diabetic,Diabetic Supply
202,Advocate Syringes,Syring-Needl,Diabetic Supply
203,Advocate Syringes,Disp,Diabetic Supply
204,Advocate Syringes,Insul,Diabetic Supply
205,Advocate Syringes,0.3 Ml,Diabetic Supply
206,Advocate Syringes,Syringe And Needle,Diabetic Supply
207,Advocate Syringes,Insulin,Diabetic Supply
208,Advocate Syringes,1ml,Diabetic Supply
209,Advocate Syringes,Syringe-Needle,Diabetic Supply
210,Advocate Syringes,Insulin,Diabetic Supply
211,Advocate Syringes,0.5 Ml,Diabetic Supply
212,Adzenys XR-ODT,Amphetamine,Neos Brands/Ayt
213,Afinitor,Everolimus,Novartis
214,Afinitor Disperz,Everolimus,Novartis
215,Afrezza,Insulin Regular,Mannkind Corpor
216,Afrezza,Human,Mannkind Corpor
217,Aggrenox,Aspirin/Dipyridamole,Boehringer Ing.
218,Agrylin,Anagrelide HCl,Shire US Inc.
219,Aimovig Autoinjector,Erenumab-Aooe,Amgen
220,Airduo Digihaler,Fluticasone Propion/Salmeterol,Teva Specialty
221,Airduo Respiclick,Fluticasone Propion/Salmeterol,Teva Specialty
222,Ajovy Autoinjector,Fremanezumab-Vfrm,Teva USA
223,Ajovy Syringe,Fremanezumab-Vfrm,Teva USA
224,Ak-Poly-Bac,Bacitracin/Polymyxin B Sulfate,Akorn Inc.
225,Aklief,Trifarotene,Galderma Labora
226,Akten,Lidocaine HCl/PF,Akorn Inc.
227,Akynzeo,Fosnetupitant/Palonosetron,Helsinn Therape
228,Akynzeo,Netupitant/Palonosetron HCl,Helsinn Therape
229,Ala-Cort,Hydrocortisone,Crown Laborator
230,Ala-Scalp,Hydrocortisone,Crown Therap/Ma
231,Ala-Scalp,Hydrocortisone,"Derm Ventures,"
232,Albendazole,Albendazole,Edenbridge Phar
233,Albendazole,Albendazole,Lineage/Impax G
234,Albendazole,Albendazole,Mark Cuban Cost
235,Albendazole,Albendazole,"Cipla USA, Inc."
236,Albendazole,Albendazole,Dr.Reddy'S Lab
237,Albendazole,Albendazole,Camber Pharmace
238,Albendazole,Albendazole,Amneal Pharmace
239,Albendazole,Albendazole,Zydus Pharmaceu
240,Albendazole,Albendazole,Novadoz Pharmac
241,Albendazole,Albendazole,Teva USA
242,Albendazole,Albendazole,Northstar Rx Ll
243,Albuked-25,Albumin Human,Kedrion Biophar
244,Albutein,Albumin Human,Grifols
245,Albuterol Sulfate HFA,Albuterol Sulfate,Perrigo/Padagis
246,Albuterol Sulfate HFA,Albuterol Sulfate,Teva USA
247,Albuterol Sulfate HFA,Albuterol Sulfate,Par Pharm.
248,Albuterol Sulfate HFA,Albuterol Sulfate,Sandoz
249,Albuterol Sulfate HFA,Albuterol Sulfate,"Civica, Inc."
250,Albuterol Sulfate HFA,Albuterol Sulfate,Lupin Pharmaceu
251,Albuterol Sulfate HFA,Albuterol Sulfate,"Cipla USA, Inc."
252,Albuterol Sulfate HFA,Albuterol Sulfate,Prasco Labs
253,Albuterol Sulfate*,Albuterol Sulfate,Mylan*
254,Albuterol Sulfate*,Albuterol Sulfate,Zydus Pharmaceu
255,Albuterol Sulfate*,Albuterol Sulfate,Sun Pharma Glob
256,Albuterol Sulfate*,Albuterol Sulfate,Virtus Pharmace
257,Albuterol Sulfate*,Albuterol Sulfate,Ritedose Pharma
258,Albuterol Sulfate*,Albuterol Sulfate,Rising Pharm
259,Albuterol Sulfate*,Albuterol Sulfate,Quagen Pharmace
260,Albuterol Sulfate*,Albuterol Sulfate,Nephron Corp
261,Albuterol Sulfate*,Albuterol Sulfate,Nivagen Pharmac
262,Albuterol Sulfate*,Albuterol Sulfate,Mylan Instituti
263,Albuterol Sulfate*,Albuterol Sulfate,Hi-Tech/Akorn C*
264,Albuterol Sulfate*,Albuterol Sulfate,Actavis/Teva*
265,Albuterol Sulfate*,Albuterol Sulfate,Amneal Pharmace
266,Albuterol Sulfate*,Albuterol Sulfate,Mutual Pharm Co
267,Albuterol Sulfate*,Albuterol Sulfate,AHP*
268,Alclometasone Dipropionate,Alclometasone Dipropionate,Glenmark Pharma
269,Alclometasone Dipropionate,Alclometasone Dipropionate,Fougera/Sandoz
270,Alclometasone Dipropionate,Alclometasone Dipropionate,Taro Pharm USA
271,Alcohol Pads,Alcohol Antiseptic Pads,Home Aide Diagn
272,Alcohol Pads,Alcohol Antiseptic Pads,Global Diabetic
273,Alcohol Prep Pads,Alcohol Antiseptic Pads,Fifty50 Pharmac
274,Alcohol Prep Pads,Alcohol Antiseptic Pads,Xpress Medical
275,Alcohol Prep Pads,Alcohol Antiseptic Pads,US Diagnostics
276,Alcohol Prep Pads,Alcohol Antiseptic Pads,Specialty Med
277,Alcohol Prep Pads,Alcohol Antiseptic Pads,Sm-Strategic So
278,Alcohol Prep Pads,Alcohol Antiseptic Pads,Walgreen Co.
279,Alcohol Prep Pads,Alcohol Antiseptic Pads,"Sdi USA, Inc."
280,Alcohol Prep Pads,Alcohol Antiseptic Pads,Rugby
281,Alcohol Prep Pads,Alcohol Antiseptic Pads,Simple Diagnost
282,Alcohol Prep Pads,Alcohol Antiseptic Pads,One Pharmaceuti
283,Alcohol Prep Pads,Alcohol Antiseptic Pads,Mckesson Medica
284,Alcohol Prep Pads,Alcohol Antiseptic Pads,Phoenix Healthc
285,Alcohol Prep Pads,Alcohol Antiseptic Pads,Kroger Co
286,Alcohol Prep Pads,Alcohol Antiseptic Pads,Hm-Strategic So
287,Alcohol Prep Pads,Alcohol Antiseptic Pads,Home Aide Diagn
288,Alcohol Prep Pads,Alcohol Antiseptic Pads,Chain Drug Cons
289,Alcohol Prep Pads,Alcohol Antiseptic Pads,Arise Medical L
290,Alcohol Prep Pads,Alcohol Antiseptic Pads,Dynarex Corp.
291,Alcohol Prep Pads,Alcohol Antiseptic Pads,CVS
292,Alcohol Prep Pads,Alcohol Antiseptic Pads,Diabetic Supply
293,Alcohol Swab,Alcohol Antiseptic Pads,Amerisource-Gnp
294,Alcohol Swabs,Alcohol Antiseptic Pads,Walgreen Co.
295,Alcohol Swabs,Alcohol Antiseptic Pads,Ultimed Inc
296,Alcohol Swabs,Alcohol Antiseptic Pads,Wal-Mart Stores
297,Alcohol Swabs,Alcohol Antiseptic Pads,Target Corp
298,Alcohol Swabs,Alcohol Antiseptic Pads,Rite Aid Corp.
299,Alcohol Swabs,Alcohol Antiseptic Pads,Perrigo Diabete
300,Alcohol Swabs,Alcohol Antiseptic Pads,Meijer Inc.
301,Alcohol Swabs,Alcohol Antiseptic Pads,Leader
302,Alcohol Swabs,Alcohol Antiseptic Pads,Kroger Co
303,Alcohol Swabs,Alcohol Antiseptic Pads,Equaline Vitami
304,Alcohol Swabs,Alcohol Antiseptic Pads,Chain Drug
305,Alcohol Wipes,Alcohol Antiseptic Pads,Leader
306,Alcohol Wipes,Alcohol Antiseptic Pads,Medicine Shop
307,Alcohol Wipes,Alcohol Antiseptic Pads,CVS
308,Alcohol Wipes,Alcohol Antiseptic Pads,Rite Aid Corp.
309,Alcohol Wipes,Alcohol Antiseptic Pads,Amerisource-Gnp
310,Aldactazide,Spironolact/Hydrochlorothiazid,Pharmaci/Pfizer
311,Aldactone,Spironolactone,Pharmaci/Pfizer
312,Aldara,Imiquimod,Bausch Health U
313,Aldurazyme,Laronidase,Genzyme
314,Alecensa,Alectinib HCl,"Genentech, Inc."
315,Alendronate Sodium,Alendronate Sodium,West-Ward/Hikma
316,Alendronate Sodium,Alendronate Sodium,Virtus Pharmace
317,Alendronate Sodium,Alendronate Sodium,Rising Pharm
318,Alendronate Sodium,Alendronate Sodium,Tagi Pharma
319,Alendronate Sodium,Alendronate Sodium,Marlex Pharm.
320,Alendronate Sodium,Alendronate Sodium,Impax/Amneal
321,Alendronate Sodium,Alendronate Sodium,Northstar Rx Ll
322,Alendronate Sodium,Alendronate Sodium,"Cipla USA, Inc."
323,Alendronate Sodium,Alendronate Sodium,Aurobindo Pharm
324,Alfuzosin HCl ER,Alfuzosin HCl,Unichem Pharmac
325,Alfuzosin HCl ER,Alfuzosin HCl,Sun Pharma Glob
326,Alfuzosin HCl ER,Alfuzosin HCl,Exelan Pharmace
327,Alfuzosin HCl ER,Alfuzosin HCl,"Cipla USA, Inc."
328,Alfuzosin HCl ER,Alfuzosin HCl,Torrent Pharmac
329,Alfuzosin HCl ER,Alfuzosin HCl,Aurobindo Pharm
330,Alfuzosin HCl ER,Alfuzosin HCl,Rising Pharm
331,Alimta,Pemetrexed Disodium,Eli Lilly & Co.
332,Alinia,Nitazoxanide,Romark Laborato
333,Aliskiren,Aliskiren Hemifumarate,Par Pharm.
334,Aliskiren,Aliskiren Hemifumarate,Prasco Labs
335,Allopurinol,Allopurinol,Zydus Pharmaceu
336,Allopurinol,Allopurinol,Ranbaxy/Sun Pha
337,Allopurinol,Allopurinol,Pd-Rx Pharm
338,Allopurinol,Allopurinol,Mylan
339,Allopurinol,Allopurinol,Qualitest/Par P
340,Allopurinol,Allopurinol,Mylan Instituti
341,Allopurinol,Allopurinol,Mckesson Packag
342,Allopurinol,Allopurinol,Sun Pharmaceuti
343,Allopurinol,Allopurinol,Major Pharmaceu
344,Allopurinol,Allopurinol,Northstar Rx Ll
345,Allopurinol,Allopurinol,Dr.Reddy'S Lab
346,Allopurinol,Allopurinol,Avet Pharmaceut
347,Allopurinol,Allopurinol,Unichem Pharmac
348,Allopurinol,Allopurinol,Arise Pharmaceu
349,Allopurinol,Allopurinol,Actavis/Teva
350,Allopurinol,Allopurinol,Accord Healthca
351,Allopurinol,Allopurinol,AHP
352,Allzital,Butalbital/Acetaminophen,Larken Labs
353,Almotriptan Malate,Almotriptan Malate,Mylan
354,Almotriptan Malate,Almotriptan Malate,Ajanta Pharma L
355,Alocril,Nedocromil Sodium,Allergan Inc.
356,Alogliptin,Alogliptin Benzoate,Perrigo/Padagis
357,Alogliptin-Metformin,Alogliptin Benz/Metformin HCl,Perrigo/Padagis
358,Alogliptin-Pioglitazone,Alogliptin Benz/Pioglitazone,Perrigo Co.
359,Alogliptin-Pioglitazone,Alogliptin Benz/Pioglitazone,Perrigo/Padagis
360,Alomide,Lodoxamide Tromethamine,Alcon/Novartis
361,Alora,Estradiol,Allergan Inc.
362,Alosetron HCl,Alosetron HCl,Roxane/West-War
363,Alosetron HCl,Alosetron HCl,Rising Pharm
364,Alosetron HCl,Alosetron HCl,Par Pharm.
365,Alosetron HCl,Alosetron HCl,Lifestar Pharma
366,Alosetron HCl,Alosetron HCl,Amneal Pharmace
367,Alosetron HCl,Alosetron HCl,Actavis/Teva
368,Alphagan P,Brimonidine Tartrate,Allergan Inc.
369,Alprazolam,Alprazolam,Par Pharm.
370,Alprazolam,Alprazolam,Mylan
371,Alprazolam,Alprazolam,Major Pharmaceu
372,Alprazolam,Alprazolam,Sandoz
373,Alprazolam,Alprazolam,Greenstone LLC.
374,Alprazolam,Alprazolam,Dava Pharmaceut
375,Alprazolam,Alprazolam,Breckenridge
376,Alprazolam,Alprazolam,Aurobindo Pharm
377,Alprazolam,Alprazolam,Actavis/Teva
378,Alprazolam ER,Alprazolam,Aurobindo Pharm
379,Alprazolam ER,Alprazolam,Actavis/Teva
380,Alprazolam Intensol,Alprazolam,Roxane/West-War
381,Alprazolam ODT,Alprazolam,Par Pharm.
382,Alprazolam ODT,Alprazolam,Actavis/Teva
383,Alprazolam XR,Alprazolam,Greenstone LLC.
384,Alrex,Loteprednol Etabonate,Bausch Health U
385,Altabax,Retapamulin,"Almirall, LLC"
386,Altace,Ramipril,Monarch Phrm
387,Altavera,Levonorgestrel/Ethin.Estradiol,"Xiromed, LLC"
388,Altoprev,Lovastatin,Covis Pharma
389,Altreno,Tretinoin,Bausch Health U
390,Alunbrig,Brigatinib,Millennium Phar
391,Alvesco,Ciclesonide,Covis Pharma
392,Alyacen,Norethindrone-Ethin. Estradiol,Glenmark Pharma
393,Alyq,Tadalafil,Teva USA
394,Amabelz,Estradiol/Norethindrone Acet,Lupin Pharmaceu
395,Amantadine,Amantadine HCl,Upsher-Smith La
396,Amantadine,Amantadine HCl,Upsher Smith La
397,Amantadine,Amantadine HCl,Strides Pharma
398,Amantadine,Amantadine HCl,Morton Grove Ph
399,Amantadine,Amantadine HCl,Marlex Pharm.
400,Amantadine,Amantadine HCl,Major Pharmaceu
401,Amantadine,Amantadine HCl,Pharm Assoc Inc
402,Amantadine,Amantadine HCl,Lannett Co. Inc
403,Amantadine,Amantadine HCl,Jubilant Cadist
404,Amantadine,Amantadine HCl,Hi-Tech/Akorn C
405,Amantadine,Amantadine HCl,"Cipla USA, Inc."
406,Amantadine,Amantadine HCl,Bionpharma Inc.
407,Amantadine,Amantadine HCl,Banner Pharmaca
408,Amantadine,Amantadine HCl,Avet Pharmaceut
409,Amantadine,Amantadine HCl,"Athem, LLC"
410,Amantadine,Amantadine HCl,Zydus Pharmaceu
411,Amantadine,Amantadine HCl,Advagen Pharma
412,Amantadine,Amantadine HCl,Alembic Pharmac
413,Amantadine,Amantadine HCl,Actavis/Teva
414,Amaryl,Glimepiride,Sanofi-Aventis
415,Ambien,Zolpidem Tartrate,Sanofi-Aventis
416,Ambien Cr,Zolpidem Tartrate,Sanofi-Aventis
417,Ambisome,Amphotericin B Liposome,Astellas Pharma
418,Ambrisentan,Ambrisentan,Zydus Pharmaceu
419,Ambrisentan,Ambrisentan,Sun Pharma Glob
420,Ambrisentan,Ambrisentan,Par Pharm.
421,Ambrisentan,Ambrisentan,Mylan
422,Ambrisentan,Ambrisentan,"Cipla USA, Inc."
423,Ambrisentan,Ambrisentan,Actavis/Teva
424,Amcinonide,Amcinonide,Fougera/Sandoz
425,Amerge,Naratriptan HCl,Glaxosmithkline
426,Amethia,L-Norgest/E.Estradiol-E.Estrad,Mayne Pharma In
427,Amethyst,Levonorgestrel/Ethin.Estradiol,Actavis/Teva
428,Amicar,Aminocaproic Acid,Clover Pharmace
429,Amikacin Sulfate,Amikacin Sulfate,West-Ward/Hikma
430,Amikacin Sulfate,Amikacin Sulfate,Teva Parenteral
431,Amikacin Sulfate,Amikacin Sulfate,Sagent Pharmace
432,Amikacin Sulfate,Amikacin Sulfate,Fresenius Kabi
433,Amikacin Sulfate,Amikacin Sulfate,Avet/Novaplus
434,Amikacin Sulfate,Amikacin Sulfate,Avet Pharmaceut
435,Amiloride HCl,Amiloride HCl,Sigmapharm Labo
436,Amiloride HCl,Amiloride HCl,Perrigo/Padagis
437,Amiloride HCl,Amiloride HCl,Par Pharm.
438,Amiloride-Hydrochlorothiazide,Amiloride/Hydrochlorothiazide,Teva USA
439,Amiloride-Hydrochlorothiazide,Amiloride/Hydrochlorothiazide,Mylan
440,Aminocaproic Acid*,Aminocaproic Acid,Vitruvias Thera
441,Aminocaproic Acid*,Aminocaproic Acid,Vistapharm
442,Aminocaproic Acid*,Aminocaproic Acid,"Trupharma, LLC."
443,Aminocaproic Acid*,Aminocaproic Acid,Novadoz Pharmac
444,Aminocaproic Acid*,Aminocaproic Acid,Ani Pharmaceuti
445,Aminocaproic Acid*,Aminocaproic Acid,Amneal Pharmace
446,Aminocaproic Acid*,Aminocaproic Acid,Akorn Inc.
447,Amiodarone HCl*,Amiodarone HCl,Unichem Pharmac
448,Amiodarone HCl*,Amiodarone HCl,Taro Pharm USA
449,Amiodarone HCl*,Amiodarone HCl,Sandoz
450,Amiodarone HCl*,Amiodarone HCl,Zydus Pharmaceu
451,Amiodarone HCl*,Amiodarone HCl,Northstar Rx Ll
452,Amiodarone HCl*,Amiodarone HCl,Mayne Pharma In
453,Amiodarone HCl*,Amiodarone HCl,Major Pharmaceu
454,Amiodarone HCl*,Amiodarone HCl,Cameron Pharmac
455,Amiodarone HCl*,Amiodarone HCl,Aurobindo Pharm
